Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles
Single,512,-,16,1,LRU,4026339,1791155,-,-,1791155,5817494,69.21,-,93584089
Multi,512,2048,16,1,LRU,4026339,1791155,915380,875775,875775,5817494,69.21,51.11,52391989
Single,512,-,16,1,Random,4026339,1791155,-,-,1791155,5817494,69.21,-,93584089
Multi,512,2048,16,1,Random,4026339,1791155,1022820,768335,768335,5817494,69.21,57.1,47557189
Single,512,-,16,1,FIFO,4026339,1791155,-,-,1791155,5817494,69.21,-,93584089
Multi,512,2048,16,1,FIFO,4026339,1791155,915380,875775,875775,5817494,69.21,51.11,52391989
Single,512,-,16,2,LRU,4300844,1516650,-,-,1516650,5817494,73.93,-,80133344
Multi,512,2048,16,2,LRU,3292372,2525122,1848145,676977,676977,5817494,56.59,73.19,46381947
Single,512,-,16,2,Random,4016577,1800917,-,-,1800917,5817494,69.04,-,94062427
Multi,512,2048,16,2,Random,3837338,1980156,1233888,746268,746268,5817494,65.96,62.31,47320178
Single,512,-,16,2,FIFO,4069455,1748039,-,-,1748039,5817494,69.95,-,91471405
Multi,512,2048,16,2,FIFO,3292372,2525122,1735095,790027,790027,5817494,56.59,68.71,51469197
Single,512,-,16,4,LRU,4423285,1394209,-,-,1394209,5817494,76.03,-,74133735
Multi,512,2048,16,4,LRU,4087274,1730220,1036917,693303,693303,5817494,70.26,59.93,43937009
Single,512,-,16,4,Random,4086557,1730937,-,-,1730937,5817494,70.25,-,90633407
Multi,512,2048,16,4,Random,3926454,1891040,1142436,748604,748604,5817494,67.49,60.41,47068834
Single,512,-,16,4,FIFO,4116847,1700647,-,-,1700647,5817494,70.77,-,89149197
Multi,512,2048,16,4,FIFO,3537575,2279919,1472439,807480,807480,5817494,60.81,64.58,51273770
Single,512,-,32,1,LRU,4592409,1225085,-,-,1225085,5817494,78.94,-,65846659
Multi,512,2048,32,1,LRU,4592409,1225085,605156,619929,619929,5817494,78.94,49.4,38614639
Single,512,-,32,1,Random,4592409,1225085,-,-,1225085,5817494,78.94,-,65846659
Multi,512,2048,32,1,Random,4592409,1225085,763642,461443,461443,5817494,78.94,62.33,31482769
Single,512,-,32,1,FIFO,4592409,1225085,-,-,1225085,5817494,78.94,-,65846659
Multi,512,2048,32,1,FIFO,4592409,1225085,605156,619929,619929,5817494,78.94,49.4,38614639
Single,512,-,32,2,LRU,4881352,936142,-,-,936142,5817494,83.91,-,51688452
Multi,512,2048,32,2,LRU,3683157,2134337,1780297,354040,354040,5817494,63.31,83.41,30286642
Single,512,-,32,2,Random,4617768,1199726,-,-,1199726,5817494,79.38,-,64604068
Multi,512,2048,32,2,Random,4412065,1405429,988651,416778,416778,5817494,75.84,70.35,30194220
Single,512,-,32,2,FIFO,4698894,1118600,-,-,1118600,5817494,80.77,-,60628894
Multi,512,2048,32,2,FIFO,3683157,2134337,1653178,481159,481159,5817494,63.31,77.46,36006997
Single,512,-,32,4,LRU,5049169,768325,-,-,768325,5817494,86.79,-,43465419
Multi,512,2048,32,4,LRU,4553105,1264389,909567,354822,354822,5817494,78.27,71.94,26842040
Single,512,-,32,4,Random,4734661,1082833,-,-,1082833,5817494,81.39,-,58876311
Multi,512,2048,32,4,Random,4544400,1273094,859049,414045,414045,5817494,78.12,67.48,29541895
Single,512,-,32,4,FIFO,4795723,1021771,-,-,1021771,5817494,82.44,-,55884273
Multi,512,2048,32,4,FIFO,4079007,1738487,1263637,474850,474850,5817494,70.12,72.69,34139692
Single,512,-,64,1,LRU,4569549,1247945,-,-,1247945,5817494,78.55,-,66966799
Multi,512,2048,64,1,LRU,4569549,1247945,522565,725380,725380,5817494,78.55,41.87,43451374
Single,512,-,64,1,Random,4569549,1247945,-,-,1247945,5817494,78.55,-,66966799
Multi,512,2048,64,1,Random,4569549,1247945,912196,335749,335749,5817494,78.55,73.1,25917979
