Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles,Total Hit Rate (%)
Single,512,-,32,1,LRU,546967,181937,-,-,181937,728904,75.04,-,9643817,75.03964856826138
Multi,512,2048,32,1,LRU,546967,181937,92884,89053,89053,728904,75.04,51.05,5464037,75.03964856826138
Single,512,-,32,1,Random,546967,181937,-,-,181937,728904,75.04,-,9643817,75.03964856826138
Multi,512,2048,32,1,Random,546967,181937,119560,62377,62377,728904,75.04,65.72,4263617,75.03964856826138
Single,512,-,32,1,FIFO,546967,181937,-,-,181937,728904,75.04,-,9643817,75.03964856826138
Multi,512,2048,32,1,FIFO,546967,181937,92884,89053,89053,728904,75.04,51.05,5464037,75.03964856826138
Single,512,-,32,2,LRU,600853,128051,-,-,128051,728904,82.43,-,7003403,82.43239164553906
Multi,512,2048,32,2,LRU,467538,261366,203805,57561,57561,728904,64.14,77.98,4364613,64.14260314115438
Single,512,-,32,2,Random,575539,153365,-,-,153365,728904,78.96,-,8243789,78.95950632730785
Multi,512,2048,32,2,Random,552693,176211,115960,60251,60251,728904,75.83,65.81,4145043,75.82521155049224
Single,512,-,32,2,FIFO,582713,146191,-,-,146191,728904,79.94,-,7892263,79.94372372767882
Multi,512,2048,32,2,FIFO,467538,261366,187024,74342,74342,728904,64.14,71.56,5119758,64.14260314115438
Single,512,-,32,4,LRU,614658,114246,-,-,114246,728904,84.33,-,6326958,84.32633103947845
Multi,512,2048,32,4,LRU,552892,176012,121568,54444,54444,728904,75.85,69.07,3882932,75.85251281375875
Single,512,-,32,4,Random,579180,149724,-,-,149724,728904,79.46,-,8065380,79.45902341049027
Multi,512,2048,32,4,Random,555294,173610,114620,58990,58990,728904,76.18,66.02,4077894,76.18204866484474
Single,512,-,32,4,FIFO,586276,142628,-,-,142628,728904,80.43,-,7717676,80.432539813199
Multi,512,2048,32,4,FIFO,500299,228605,157622,70983,70983,728904,68.64,68.95,4837559,68.63715935157441
Single,512,-,64,1,LRU,563093,165811,-,-,165811,728904,77.25,-,8853643,77.2520112387914
Multi,512,2048,64,1,LRU,563093,165811,78727,87084,87084,728904,77.25,47.48,5310928,77.2520112387914
Single,512,-,64,1,Random,563093,165811,-,-,165811,728904,77.25,-,8853643,77.2520112387914
Multi,512,2048,64,1,Random,563093,165811,116008,49803,49803,728904,77.25,69.96,3633283,77.2520112387914
Single,512,-,64,1,FIFO,563093,165811,-,-,165811,728904,77.25,-,8853643,77.2520112387914
Multi,512,2048,64,1,FIFO,563093,165811,78727,87084,87084,728904,77.25,47.48,5310928,77.2520112387914
Single,512,-,64,2,LRU,622390,106514,-,-,106514,728904,85.39,-,5948090,85.38710173081778
Multi,512,2048,64,2,LRU,456195,272709,231646,41063,41063,728904,62.59,84.94,3667575,62.58643113496427
Single,512,-,64,2,Random,598349,130555,-,-,130555,728904,82.09,-,7126099,82.08886218212548
Multi,512,2048,64,2,Random,572203,156701,112699,44002,44002,728904,78.5,71.92,3335798,78.50183288883036
Single,512,-,64,2,FIFO,607344,121560,-,-,121560,728904,83.32,-,6685344,83.32290672022653
Multi,512,2048,64,2,FIFO,456195,272709,205808,66901,66901,728904,62.59,75.47,4830285,62.58643113496427
Single,512,-,64,4,LRU,628959,99945,-,-,99945,728904,86.29,-,5626209,86.28831780316749
Multi,512,2048,64,4,LRU,549312,179592,137421,42171,42171,728904,75.36,76.52,3344967,75.3613644595173
Single,512,-,64,4,Random,602500,126404,-,-,126404,728904,82.66,-,6922700,82.65834732694566
Multi,512,2048,64,4,Random,571682,157222,115102,42120,42120,728904,78.43,73.21,3253192,78.43035571213768
Single,512,-,64,4,FIFO,609044,119860,-,-,119860,728904,83.56,-,6602044,83.55613359235235
Multi,512,2048,64,4,FIFO,516685,212219,155806,56413,56413,728904,70.89,73.42,4116365,70.8851920143119
Single,1024,-,32,1,LRU,601769,127135,-,-,127135,728904,82.56,-,6958519,82.55805977193155
Multi,1024,4096,32,1,LRU,601769,127135,59235,67900,67900,728904,82.56,46.59,4292944,82.55805977193155
Single,1024,-,32,1,Random,601769,127135,-,-,127135,728904,82.56,-,6958519,82.55805977193155
Multi,1024,4096,32,1,Random,601769,127135,75199,51936,51936,728904,82.56,59.15,3574564,82.55805977193155
Single,1024,-,32,1,FIFO,601769,127135,-,-,127135,728904,82.56,-,6958519,82.55805977193155
Multi,1024,4096,32,1,FIFO,601769,127135,59235,67900,67900,728904,82.56,46.59,4292944,82.55805977193155
Single,1024,-,32,2,LRU,629499,99405,-,-,99405,728904,86.36,-,5599749,86.36240163313687
Multi,1024,4096,32,2,LRU,546967,181937,134223,47714,47714,728904,75.04,73.77,3603782,75.03964856826138
Single,1024,-,32,2,Random,614418,114486,-,-,114486,728904,84.29,-,6338718,84.2934048928254
Multi,1024,4096,32,2,Random,602659,126245,76940,49305,49305,728904,82.68,60.94,3452609,82.68016089910331
Single,1024,-,32,2,FIFO,618138,110766,-,-,110766,728904,84.8,-,6156438,84.80376016594778
Multi,1024,4096,32,2,FIFO,546967,181937,126892,55045,55045,728904,75.04,69.75,3933677,75.03964856826138
Single,1024,-,32,4,LRU,636713,92191,-,-,92191,728904,87.35,-,5246263,87.35210672461669
Multi,1024,4096,32,4,LRU,624199,104705,56430,48275,48275,728904,85.64,53.89,3320099,85.63528256121519
Single,1024,-,32,4,Random,620204,108700,-,-,108700,728904,85.09,-,6055204,85.08719941171951
Multi,1024,4096,32,4,Random,611476,117428,68418,49010,49010,728904,83.89,58.26,3404066,83.88978521176999
Single,1024,-,32,4,FIFO,622732,106172,-,-,106172,728904,85.43,-,5931332,85.43402148979838
Multi,1024,4096,32,4,FIFO,582713,146191,91111,55080,55080,728904,79.94,62.32,3792268,79.94372372767882
Single,1024,-,64,1,LRU,625120,103784,-,-,103784,728904,85.76,-,5814320,85.7616366489963
